c_deviceid c_devicename
927075898	DY企石-霞朗排渠（动态巡查B28）
559811374	DY寮步-西南河出口(动态巡查B65)
541985587	SM清溪谢坑水（动态巡查29）
559614749	SM谢岗平塘（动态巡查B52）
559745839	DY干流-东城金桥水产市场（动态巡查B88）
793381679	DY松山湖茶山-大圳埔排渠汇入（动态巡查18-B）
559614767	DY大朗-水口排渠（动态巡查B58）
911543838	SX道滘道滘大桥（动态巡查B06）
793709347	DY石排-海仔河汇入（动态巡查43）
542051118	DY大岭山-大坑洞排渠 (动态巡查14)
559811377	DY寮步东坑-西溪河(动态巡查B85)
928190011	DY黄江-芙蓉水汇入（动态巡查B14）
928910907	DY大朗-松木山水大陂海(动态巡查B04)
911347229	DY桥头-石马河汇入（动态巡查23-B）
559680292	SX万江流涌尾(动态巡查B51)
793447217	DY茶山-卢溪渠汇入口（动态巡查1）
928517691	DY寒溪河-黄江蚬壳海桥（动态巡查B03）
559614750	DY东城-黄沙河上（动态巡查B72）
643567145	DY寮步-寮步河（动态巡查B27）
911281693	SX道滘东洲头水闸（动态巡查B05）
558041881	DY常平-桥沥水（动态巡查B83）
540085042	MZ长安人民涌（动态巡查4）
928779835	DY寒溪河-常平岗梓（动态巡查B24）
559680301	DY寒溪河-东坑生态园大道（动态巡查B68）
542051104	DY大岭山-枫树坑排渠(动态巡查MCK017)
912068124	DY茶山松山湖-上元渠汇入(动态巡查B32)
927141434	DY干流-松山湖东部快速干线（动态巡查B30）
912199198	DY干流-南城大龙路桥(动态巡查B15)
793709340	SX万江崩口排站（动态巡查25）
927075899	DY常平仁和水-沙湖口（动态巡查B34）
559745833	SM塘厦观澜河汇入前(动态巡查B81)
559680289	SM常平东深排渠(动态巡查B69)
557845284	DY横沥-新城排渠（动态巡查B86）
928190020	DY寮步-横竹河虚舟路（动态巡查B18）
795544370	SX石碣振园路（动态巡查35）
559614761	SM桥头新开河二桥（动态巡查B71）
928779844	SM清溪契爷石河(动态巡查41)
791677724	DY东坑-角社排渠汇入口 （动态巡查16）
542051106	SX中堂豆豉洲（动态巡查7）
641732137	MZ长安东引运河（动态巡查B25）
910298655	DY横沥-仁和水汇入（动态巡查B11）
911412765	DY寮步-黄沙河中（动态巡查B37）
559811358	DY横沥-石涌排渠汇入口（动态巡查B80）
542051109	SX洪梅黎洲角水闸（动态巡查6）
912068126	DY大朗-梅塘水(动态巡查B01)
912068127	DY东城-筷子河（动态巡查B36）
559614760	DY干流-茶山横岗埔(动态巡查B62)
559876914	MZ长安新民排渠（动态巡查B63）
910167583	DY寮步-黄沙河下（动态巡查B17）
559614769	DY干流-横沥出境-东坑干流交界断面（动态巡查B59）
928255556	DY大朗-东坑内河上游（动态巡查B07）
540085038	DY干流-莞城可园中学(动态巡查13)
928321092	SM樟木头石马河-官仓河交汇断面(动态巡查B10)
559876921	DY桥头-小海河东引运河汇入口(动态巡查B61)
559680303	DY大岭山-连平河高田大桥（动态巡查B64）
559876912	SX洪梅-望牛墩洪梅大桥（动态巡查B54）
793709354	SX中堂东向水闸（动态巡查15）
559614754	DY干流-企石鸿发桥（动态巡查B60）
559614768	DY大岭山-大沙排渠（动态巡查B56）
559614752	DY茶山-茶山内河（动态巡查B70）
557845290	SX石碣刘沙路立交（动态巡查82）
793381682	MZ长安三八涌（动态巡查9）
559876913	DY干流-企石南坑水闸(动态巡查B57)
791677731	DY常平-仁和水上游（动态巡查36）
